cycle,residual_L2,rel_residual
367,2.16492e+06,0.00510397
368,2.16042e+06,0.00509336
369,2.15604e+06,0.00508303
370,2.15154e+06,0.00507241
371,2.14705e+06,0.00506184
372,2.14274e+06,0.00505167
373,2.1383e+06,0.00504121
374,2.13397e+06,0.00503101
375,2.12966e+06,0.00502083
376,2.12529e+06,0.00501053
377,2.12104e+06,0.0050005
378,2.11671e+06,0.0049903
379,2.11248e+06,0.00498033
380,2.10818e+06,0.0049702
381,2.10404e+06,0.00496044
382,2.09977e+06,0.00495037
383,2.09564e+06,0.00494064
384,2.0915e+06,0.00493088
385,2.08738e+06,0.00492116
386,2.08325e+06,0.00491142
387,2.07913e+06,0.00490171
388,2.07506e+06,0.00489212
389,2.07096e+06,0.00488245
390,2.06692e+06,0.00487292
391,2.06289e+06,0.00486343
392,2.0589e+06,0.00485401
393,2.05484e+06,0.00484445
394,2.05086e+06,0.00483506
395,2.04697e+06,0.0048259
396,2.043e+06,0.00481652
397,2.03901e+06,0.00480713
398,2.03517e+06,0.00479807
399,2.03126e+06,0.00478886
400,2.02738e+06,0.00477971
400,2.02738e+06,0.00477971
